grid_size,genome_size,mutation_rate,num_threads,omp_singleMeasure_multipleParallelFor,omp_singleMeasure_oneParallelFor,omp_singleMeasure_oneParallelFor_bitset,omp_singleMeasure_oneParallelSectionMultipleFor,seq_singleMeasure_multipleFor,seq_singleMeasure_oneFor,seq_singleMeasure_oneFor_bitset
16,4000,9.999999999999999e-06,16,198.869,81.575,75.701,98.291,-1,-1,-1
16,4000,9.999999999999999e-06,20,134.316,112.244,93.287,95.378,-1,-1,-1
16,4000,9.999999999999999e-06,26,172.708,76.892,93.274,120.309,-1,-1,-1
16,4000,9.999999999999999e-06,32,123.056,122.404,91.865,98.732,-1,-1,-1
16,4000,9.999999999999999e-06,48,496.359,382.408,147.199,296.256,-1,-1,-1
16,4000,9.999999999999999e-06,64,641.939,242.83,200.375,323.883,-1,-1,-1
16,8000,9.999999999999999e-06,1,535.311,445.073,420.759,524.089,523.77,438.95,421.958
16,8000,9.999999999999999e-06,2,437.898,307.931,371.419,419.523,-1,-1,-1
16,8000,9.999999999999999e-06,4,233.437,211.266,184.823,250.054,-1,-1,-1
16,8000,9.999999999999999e-06,6,209.703,181.891,165.593,191.858,-1,-1,-1
16,8000,9.999999999999999e-06,8,184.052,166.845,167.142,173.901,-1,-1,-1
16,8000,9.999999999999999e-06,12,162.692,112.763,119.398,224.578,-1,-1,-1
16,8000,9.999999999999999e-06,16,181.857,129.53,165.719,134.798,-1,-1,-1
16,8000,9.999999999999999e-06,20,161.587,102.293,108.038,155.771,-1,-1,-1
16,8000,9.999999999999999e-06,26,219.007,111.576,105.507,130.816,-1,-1,-1
16,8000,9.999999999999999e-06,32,213.443,144.722,107.607,203.871,-1,-1,-1
16,8000,9.999999999999999e-06,48,470.342,168.125,254.686,721.7,-1,-1,-1
16,8000,9.999999999999999e-06,64,620.12,291.265,308.571,687.797,-1,-1,-1
16,16000,9.999999999999999e-06,1,1362.059,1250.791,1280.295,1326.388,1338.771,1247.424,1282.947
16,16000,9.999999999999999e-06,2,1000.379,869.409,876.521,982.402,-1,-1,-1
16,16000,9.999999999999999e-06,4,568.978,551.604,581.795,608.891,-1,-1,-1
16,16000,9.999999999999999e-06,6,468.722,390.283,366.724,409.261,-1,-1,-1
16,16000,9.999999999999999e-06,8,371.168,361.239,338.024,314.946,-1,-1,-1
16,16000,9.999999999999999e-06,12,322.957,244.826,286.36,300.095,-1,-1,-1
16,16000,9.999999999999999e-06,16,354.757,216.298,281.878,246.292,-1,-1,-1
16,16000,9.999999999999999e-06,20,318.462,225.589,239.43,255.003,-1,-1,-1
16,16000,9.999999999999999e-06,26,307.374,218.831,271.299,241.843,-1,-1,-1
16,16000,9.999999999999999e-06,32,224.598,230.12,223.355,236.062,-1,-1,-1
16,16000,9.999999999999999e-06,48,666.276,327.942,456.214,690.411,-1,-1,-1
16,16000,9.999999999999999e-06,64,773.946,307.197,536.099,600.086,-1,-1,-1
16,32000,9.999999999999999e-06,1,3771.438,3772.802,4310.458,3629.922,3704.121,3714.269,4319.924
16,32000,9.999999999999999e-06,2,2782.594,2432.446,2743.751,2495.471,-1,-1,-1
